run_id,label,experiment_group,notes,embedding_id,date,git_commit,solver,alpha,num_reads_requested,num_samples_returned,annealing_time,chain_strength,num_batches,reads_per_batch,E_min,E_mean,E_std,ground_state_probability,chain_break_fraction,qpu_access_time_us_sum,qpu_programming_time_us_sum,qpu_sampling_time_us_sum,qpu_anneal_time_per_sample_us,qpu_readout_time_per_sample_us
20260530_044432_git_test_qpu,git_test_qpu,infrastructure,Testing git hash logging real run,auto_embedding,2026-05-30T04:44:32,eac6a26,Advantage_system4,0.4,10,10,20.0,1.5,1,10,-378.73061014646265,-370.71126706086795,5.706426991769177,0.1,0.0016666666666666666,18511.56,15756.36,2755.2,20.0,234.94
20260530_051603_calib_reads_10,calib_reads_10,calibration_full,Full overnight timing and parameter calibration,auto_embedding,2026-05-30T05:16:03,b65f5fa,Advantage_system4,0.4,10,10,20,1.5,1,10,-378.73061014646265,-372.7007034640497,3.9271617974375195,0.1,0.0013333333333333335,18483.36,15769.16,2714.2,20.0,230.84
20260530_051727_calib_reads_50,calib_reads_50,calibration_full,Full overnight timing and parameter calibration,auto_embedding,2026-05-30T05:17:27,b65f5fa,Advantage_system4,0.4,50,42,20,1.5,1,50,-378.73061014646265,-371.0280612003369,4.148556041989589,0.023809523809523808,0.0011111111111111111,29448.16,15763.16,13685.0,20.0,233.12
20260530_051822_calib_reads_100,calib_reads_100,calibration_full,Full overnight timing and parameter calibration,auto_embedding,2026-05-30T05:18:22,b65f5fa,Advantage_system4,0.4,100,70,20,1.5,1,100,-378.73061014646265,-373.7236972875947,2.721639933320494,0.02857142857142857,0.0006190476190476191,42922.76,15758.76,27164.0,20.0,231.06
20260530_051959_calib_reads_500,calib_reads_500,calibration_full,Full overnight timing and parameter calibration,auto_embedding,2026-05-30T05:19:59,b65f5fa,Advantage_system4,0.4,500,383,20,1.5,3,200;200;100,-378.73061014646265,-371.964629129703,3.993672077678272,0.020887728459530026,0.0007223672758920799,183849.88,47285.88,136564.0,20.0,229.22
20260530_052615_calib_reads_10,calib_reads_10,calibration_full,Full overnight timing and parameter calibration,auto_embedding,2026-05-30T05:26:15,b65f5fa,Advantage_system4,0.4,10,10,20,1.5,1,10,-378.73061014646265,-372.26412673279657,4.433229571308578,0.1,0.0003333333333333334,18491.76,15763.96,2727.8,20.0,232.2
20260530_052712_calib_reads_50,calib_reads_50,calibration_full,Full overnight timing and parameter calibration,auto_embedding,2026-05-30T05:27:12,b65f5fa,Advantage_system4,0.4,50,44,20,1.5,1,50,-378.73061014646265,-371.8440246868372,4.011067035484682,0.022727272727272728,0.0008333333333333334,29106.16,15763.16,13343.0,20.0,226.28
20260530_052839_calib_reads_100,calib_reads_100,calibration_full,Full overnight timing and parameter calibration,auto_embedding,2026-05-30T05:28:39,b65f5fa,Advantage_system4,0.4,100,76,20,1.5,1,100,-378.73061014646265,-372.5940622188244,4.051349769664749,0.039473684210526314,0.0007017543859649123,43152.36,15762.36,27390.0,20.0,233.32
20260530_052926_calib_reads_500,calib_reads_500,calibration_full,Full overnight timing and parameter calibration,auto_embedding,2026-05-30T05:29:26,b65f5fa,Advantage_system4,0.4,500,434,20,1.5,3,200;200;100,-378.73061014646265,-370.9462181153294,4.4180954519145015,0.020737327188940093,0.0007296466973886329,182737.88,47277.88,135460.0,20.0,235.38
20260530_053336_calib_reads_1000,calib_reads_1000,calibration_full,Full overnight timing and parameter calibration,auto_embedding,2026-05-30T05:33:36,b65f5fa,Advantage_system4,0.4,1000,752,20,1.5,5,200;200;200;200;200,-378.73061014646265,-372.77934705517674,3.524875709704183,0.03590425531914894,0.0005939716312056738,348084.60000000003,78816.6,269268.0,20.0,228.58
