run_id,label,experiment_group,notes,embedding_id,repeat_id,study_type,date,git_commit,solver,alpha,num_reads_requested,num_samples_returned,annealing_time,chain_strength,num_batches,reads_per_batch,E_min,E_mean,E_std,ground_state_probability,chain_break_fraction,qpu_access_time_us_sum,qpu_programming_time_us_sum,qpu_sampling_time_us_sum,qpu_anneal_time_per_sample_us,qpu_readout_time_per_sample_us
20260530_163156_schema_test,schema_test,phase1_test,schema verification,auto_embedding,,,2026-05-30T16:31:56,a35d1d7,Advantage_system4,0.4,10,3,20.0,1.0,1,10,-378.73061014646265,-376.88609604528375,1.3159020076593788,0.3333333333333333,0.0011111111111111111,18444.76,15758.76,2686.0,20.0,228.02
20260530_163724_chain_cs_0p25_r1,chain_cs_0p25_r1,phase1_characterization,First presentation characterization campaign,auto_embedding,1,chain_strength,2026-05-30T16:37:24,5cebfed,Advantage_system4,0.4,10000,374,100,0.25,5,2000;2000;2000;2000;2000,-378.73061014646265,-378.7306101464628,1.7053025658242404e-13,1.0,0.007522281639928699,3582294.5999999996,78814.6,3503480.0,100.0,229.66
20260530_164307_chain_cs_0p5_r1,chain_cs_0p5_r1,phase1_characterization,First presentation characterization campaign,auto_embedding,1,chain_strength,2026-05-30T16:43:07,5cebfed,Advantage_system4,0.4,10000,327,100,0.5,5,2000;2000;2000;2000;2000,-378.73061014646265,-378.64307100533415,0.4943837098798669,0.9694189602446484,0.0033944954128440376,3610733.0,78813.0,3531920.0,100.0,233.1
20260530_164757_chain_cs_0p75_r1,chain_cs_0p75_r1,phase1_characterization,First presentation characterization campaign,auto_embedding,1,chain_strength,2026-05-30T16:47:57,5cebfed,Advantage_system4,0.4,10000,495,100,0.75,5,2000;2000;2000;2000;2000,-378.73061014646265,-378.0971801498063,1.217098956447694,0.7838383838383839,0.0030235690235690233,3594739.8000000003,78819.8,3515920.0,100.0,231.76
20260530_165230_chain_cs_1p0_r1,chain_cs_1p0_r1,phase1_characterization,First presentation characterization campaign,auto_embedding,1,chain_strength,2026-05-30T16:52:30,5cebfed,Advantage_system4,0.4,10000,919,100,1.0,5,2000;2000;2000;2000;2000,-378.73061014646265,-377.11366349984854,1.692437481290852,0.4885745375408052,0.002223431265868698,3601331.4,78811.4,3522520.0,100.0,228.94
20260530_170024_chain_cs_1p25_r1,chain_cs_1p25_r1,phase1_characterization,First presentation characterization campaign,auto_embedding,1,chain_strength,2026-05-30T17:00:24,5cebfed,Advantage_system4,0.4,10000,1533,100,1.25,5,2000;2000;2000;2000;2000,-378.73061014646265,-375.4897216268004,2.2349498663450293,0.19699934768427918,0.0011480756686236139,3582377.4,78817.4,3503560.0,100.0,226.74
20260530_170600_chain_cs_1p5_r1,chain_cs_1p5_r1,phase1_characterization,First presentation characterization campaign,auto_embedding,1,chain_strength,2026-05-30T17:06:00,5cebfed,Advantage_system4,0.4,10000,3804,100,1.5,5,2000;2000;2000;2000;2000,-378.73061014646265,-373.46423170861016,2.7652301625110027,0.06203995793901157,0.0007965299684542588,3587385.4,78785.4,3508600.0,100.0,227.6
20260530_171259_chain_cs_1p75_r1,chain_cs_1p75_r1,phase1_characterization,First presentation characterization campaign,auto_embedding,1,chain_strength,2026-05-30T17:12:59,5cebfed,Advantage_system4,0.4,10000,7386,100,1.75,5,2000;2000;2000;2000;2000,-378.73061014646265,-370.8826897491131,3.884406427979583,0.014486867045762252,0.0005785720732918133,3598328.6,78808.59999999999,3519520.0,100.0,231.5
20260530_171901_chain_cs_2p0_r1,chain_cs_2p0_r1,phase1_characterization,First presentation characterization campaign,auto_embedding,1,chain_strength,2026-05-30T17:19:01,5cebfed,Advantage_system4,0.4,10000,9407,100,2.0,5,2000;2000;2000;2000;2000,-378.73061014646265,-367.23863341250177,5.408982768080091,0.0028702030402891466,0.0003904893519010666,3587930.2,78810.2,3509120.0,100.0,224.92
20260530_172454_chain_cs_2p25_r1,chain_cs_2p25_r1,phase1_characterization,First presentation characterization campaign,auto_embedding,1,chain_strength,2026-05-30T17:24:54,5cebfed,Advantage_system4,0.4,10000,9986,100,2.25,5,2000;2000;2000;2000;2000,-378.73061014646265,-358.3039472457381,8.078965920882483,0.0006008411776487082,0.0005274050337138661,3589842.1999999997,78802.2,3511040.0,100.0,231.52
20260530_173105_chain_cs_2p5_r1,chain_cs_2p5_r1,phase1_characterization,First presentation characterization campaign,auto_embedding,1,chain_strength,2026-05-30T17:31:05,5cebfed,Advantage_system4,0.4,10000,10000,100,2.5,5,2000;2000;2000;2000;2000,-378.73061014646265,-348.08765868883665,10.168880027378862,0.0001,0.000583,3572936.2,78816.2,3494120.0,100.0,235.38
20260530_173710_chain_cs_2p75_r1,chain_cs_2p75_r1,phase1_characterization,First presentation characterization campaign,auto_embedding,1,chain_strength,2026-05-30T17:37:10,5cebfed,Advantage_system4,0.4,10000,10000,100,2.75,5,2000;2000;2000;2000;2000,-369.8841276960757,-337.81338942441954,11.373744147233017,0.0001,0.0004826666666666666,3573845.3999999994,78805.40000000001,3495040.0,100.0,230.38
